O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.157	0.134	0.083	0.41	0.978	0.029	0.195	0.035	0.141
3.112	0.122	0.185	0.32	1.002	0.082	0.089	0.036	0.168
3.262	0.147	0.198	0.271	0.998	0.041	0.295	0.014	0.169
3.195	0.039	0.092	0.308	1.083	0.046	0.166	0.011	0.194
3.216	0.107	0.129	0.334	1.05	0.037	0.135	0.014	0.198
3.204	0.043	0.091	0.414	0.96	0.047	0.161	0.006	0.258
3.183	0.124	0.046	0.368	1.063	0.047	0.2	0	0.117
2.868	0.095	0.115	0.263	0.996	0.043	0.19	0.019	0.065
3.213	0.087	0.186	0.284	1.027	0.044	0.259	0	0.203
2.929	0.096	0.081	0.449	0.901	0.049	0.101	0.041	0.115
3.207	0.064	0.201	0.33	0.959	0.022	0.247	0.023	0.205
2.809	0.085	0.052	0.277	0.991	0.036	0.152	0	0.129
3.123	0.056	0.094	0.398	0.958	0.039	0.237	0.024	0.153
3.287	0.158	0.142	0.392	0.988	0.041	0.176	0.01	0.207
3.314	0.051	0.117	0.473	0.991	0.031	0.24	0.019	0.157
2.734	0.098	0.024	0.276	0.924	0.017	0.161	0	0.169
2.815	0.019	0.084	0.326	1.032	0.067	0.007	0.011	0.101
2.811	0.09	0.102	0.315	0.999	0.052	0.091	0	0.061
2.914	0.08	0.03	0.414	0.985	0.012	0.107	0.006	0.1
2.905	0.033	0.163	0.331	0.984	0.043	0.206	0	0.028
3.305	0.084	0.139	0.396	1.037	0.025	0.047	0.028	0.322
3.295	0.051	0.141	0.42	0.978	0.037	0.253	0.035	0.16
3.099	0.075	0.161	0.424	0.912	0.054	0.113	0.045	0.207
3.079	0.073	0.078	0.269	1.058	0.027	0.264	0	0.153
3.116	0.112	0.15	0.347	0.949	0.028	0.123	0.021	0.274
3.009	0.122	0.08	0.404	0.917	0.041	0.158	0.047	0.11
3.141	0.102	0.143	0.344	0.95	0.069	0.252	0.019	0.158
3.134	0.086	0.069	0.406	0.956	0.048	0.219	0.027	0.158
2.825	0.053	0.207	0.262	0.945	0.037	0.123	0.015	0.133
2.923	0	0.072	0.358	0.981	0.046	0.227	0	0.076
2.993	0.066	0.022	0.372	1.067	0.035	0.125	0.013	0.076
3.118	0.13	0.166	0.297	0.99	0.044	0.276	0.023	0.118
2.677	0.127	0.074	0.342	0.889	0.019	0.089	0.007	0.108
3.107	0.052	0.174	0.337	0.946	0.044	0.209	0.018	0.218
3.115	0.056	0.194	0.395	0.996	0.022	0.112	0	0.144
2.824	0.029	0.098	0.311	0.914	0.041	0.117	0.04	0.159
2.931	0.041	0.092	0.202	1.021	0.054	0.23	0.029	0.114
2.965	0.078	0.106	0.32	0.993	0.032	0.161	0.015	0.147
3.374	0.015	0.108	0.492	1.062	0.051	0.142	0.033	0.125
2.931	0.105	0.092	0.225	1.079	0.048	0.137	0	0.12
2.973	0.105	0.134	0.283	0.957	0.021	0.282	0.008	0.129
3.03	0.167	0.128	0.265	0.995	0.071	0.146	0.022	0.153
2.797	0.095	0.195	0.3	0.999	0.049	0.028	0.018	0.016
3.081	0.162	0.155	0.205	1.025	0.02	0.117	0.021	0.23
3.062	0.081	0.164	0.267	0.972	0.044	0.222	0.001	0.188
3.147	0.136	0.177	0.312	0.959	0.035	0.305	0	0.16
2.862	0.063	0.048	0.358	0.99	0.01	0.206	0	0.05
2.957	0.104	0.134	0.247	1.038	0.022	0.168	0.025	0.072
2.973	0.084	0.124	0.313	0.971	0.04	0.204	0.052	0.052
3.072	0.084	0.18	0.355	0.957	0.031	0.205	0.037	0.086
3.011	0.041	0.162	0.326	1.044	0.026	0.21	0.014	0
3.242	0.184	0.145	0.309	1.047	0.066	0.254	0.001	0.124
2.776	0.194	0	0.368	0.935	0.051	0.133	0.012	0.062
2.801	0.07	0.114	0.272	0.896	0.043	0.207	0	0.196
3.014	0.09	0.04	0.294	0.982	0.03	0.203	0.004	0.214
2.737	0.091	0.124	0.152	1.014	0.06	0.13	0.01	0.129
2.813	0.195	0.063	0.221	0.982	0.049	0.145	0	0.127
3.193	0.145	0.07	0.363	1.001	0.029	0.247	0.017	0.143
3.04	0.158	0.187	0.304	0.974	0.057	0.121	0.032	0.115
2.986	0.133	0.161	0.207	0.981	0.027	0.276	0	0.14
2.943	0.069	0.082	0.28	0.963	0.029	0.051	0.028	0.252
3.052	0.038	0.031	0.295	1.004	0.022	0.315	0.02	0.13
2.824	0.105	0.083	0.283	0.996	0.053	0.159	0	0.086
3.32	0.105	0.014	0.44	1.027	0.032	0.233	0.043	0.14
3.155	0.194	0.12	0.368	0.932	0.047	0.276	0	0.195
3.388	0.11	0.104	0.389	1.007	0.036	0.21	0.013	0.258
3.093	0.082	0.162	0.321	0.973	0.037	0.206	0.026	0.134
2.886	0.014	0.06	0.388	0.988	0.038	0.13	0	0.085
3.095	0.033	0.179	0.247	0.984	0.031	0.236	0.003	0.217
2.772	0.054	0.145	0.295	0.922	0.072	0.152	0.001	0.12
3.156	0.092	0.088	0.381	0.923	0.037	0.262	0.025	0.184
3.384	0.089	0.213	0.363	1.012	0.025	0.174	0.004	0.288
2.758	0.071	0.118	0.198	0.984	0.059	0.123	0.013	0.108
2.884	0.108	0.109	0.174	0.934	0.024	0.189	0	0.288
2.897	0.071	0.074	0.402	1.015	0.036	0.137	0	0
2.607	0.002	0.047	0.286	0.915	0.037	0.117	0.018	0.108
3.045	0.056	0.106	0.419	0.904	0.039	0.26	0.022	0.117
2.981	0.132	0.172	0.308	0.939	0.043	0.154	0	0.161
3.078	0.108	0.085	0.361	0.971	0.032	0.157	0	0.188
2.936	0.083	0.142	0.341	0.946	0.055	0.119	0.028	0.104
2.864	0.125	0.083	0.341	0.926	0.038	0.157	0.021	0.121
3.472	0.13	0.133	0.402	1.051	0.043	0.252	0.013	0.186
2.996	0.13	0.082	0.377	1.005	0.041	0.094	0.001	0.153
2.729	0.072	0.135	0.299	0.993	0.064	0.082	0.005	0
2.736	0.095	0.106	0.259	0.894	0.024	0.163	0	0.203
3.032	0.107	0.065	0.241	1.056	0.037	0.149	0	0.199
2.999	0.026	0.063	0.385	1.004	0.026	0.177	0.009	0.12
3.166	0.091	0.136	0.301	0.964	0.069	0.249	0	0.289
3.02	0.088	0.147	0.362	0.94	0.023	0.244	0.002	0.105
3.328	0.137	0.11	0.466	0.994	0.048	0.169	0	0.182
3.109	0.043	0.189	0.292	1.033	0.043	0.243	0	0.129
3.06	0.061	0.12	0.342	0.91	0.048	0.193	0.021	0.241
3.035	0.11	0.021	0.395	0.995	0.036	0.156	0.042	0.079
3.112	0.084	0.056	0.464	0.95	0.021	0.135	0.013	0.233
2.966	0.068	0.107	0.358	0.986	0.056	0.135	0.019	0.095
3.16	0.056	0.124	0.331	0.984	0.057	0.199	0.026	0.223
3.085	0	0.101	0.375	1.008	0.043	0.274	0.01	0.081
2.626	0.137	0.111	0.182	0.972	0.037	0.117	0.004	0.076
2.896	0.078	0.087	0.318	0.966	0.025	0.12	0.019	0.141
3.012	0.036	0.136	0.313	1.033	0.045	0.151	0	0.145
3.338	0.047	0.13	0.274	1.081	0.024	0.294	0.027	0.188
2.779	0.042	0.097	0.302	0.897	0.052	0.272	0	0.112
2.889	0.091	0.054	0.378	0.922	0.042	0.268	0.045	0
3.138	0.059	0.144	0.344	0.999	0.02	0.201	0.007	0.2
3.122	0.037	0.16	0.288	1.011	0.024	0.299	0.021	0.127
3.177	0.107	0.103	0.287	1.081	0.047	0.084	0	0.282
2.87	0.157	0.139	0.303	0.977	0.042	0.085	0	0.136
3.047	0.044	0.099	0.285	1.012	0.046	0.057	0.031	0.234
3.019	0.084	0.061	0.448	0.944	0.021	0.161	0	0.166
3.229	0.108	0.184	0.266	1.108	0.052	0.218	0.002	0.102
2.879	0.064	0.031	0.304	0.974	0.059	0.183	0	0.162
2.645	0.113	0.125	0.265	0.945	0.027	0.033	0.009	0.095
3.152	0.099	0.091	0.374	0.947	0.04	0.226	0.04	0.23
3.035	0.073	0.172	0.311	0.983	0.027	0.118	0	0.186
2.97	0.072	0.081	0.276	0.98	0.028	0.222	0	0.227
3.005	0.081	0.132	0.291	1.022	0.037	0.207	0.014	0.077
3.147	0.062	0.181	0.401	0.925	0.036	0.204	0.015	0.221
2.845	0.032	0.105	0.354	0.939	0.057	0.151	0.005	0.105
3.004	0.064	0.063	0.393	0.937	0.073	0.115	0.038	0.166
3.233	0.036	0.037	0.399	1.082	0.002	0.214	0.014	0.166
2.994	0.081	0.147	0.321	0.976	0.029	0.201	0	0.147
3.464	0.105	0.18	0.482	0.98	0.047	0.267	0.029	0.176
2.686	0.028	0.036	0.337	1.001	0.047	0.015	0.016	0.048
2.798	0.115	0.085	0.256	0.91	0.006	0.188	0.021	0.191
3.045	0.105	0.102	0.3	1.005	0.044	0.192	0.017	0.16
3.119	0.107	0.101	0.325	1.01	0.038	0.176	0.003	0.176
2.992	0	0.173	0.237	0.997	0.053	0.123	0.059	0.157
2.915	0.054	0.209	0.295	0.918	0.002	0.16	0.021	0.148
3.031	0.081	0.077	0.336	0.9	0.043	0.176	0.001	0.309
3.145	0.092	0.141	0.385	1.037	0.031	0.033	0	0.231
3.155	0.072	0.097	0.331	1.045	0.043	0.153	0.016	0.218
2.985	0.111	0.065	0.314	0.929	0.047	0.172	0.035	0.23
2.911	0.115	0.081	0.349	0.99	0.064	0.084	0.016	0.112
2.822	0.141	0.107	0.204	1.004	0.025	0.182	0.024	0.067
3.491	0.109	0.087	0.371	0.991	0.056	0.28	0.049	0.314
2.899	0.133	0.181	0.215	1	0.055	0.213	0.026	0.031
3.085	0.115	0.18	0.321	0.991	0.047	0.07	0.022	0.222
3.194	0.08	0.094	0.436	1.009	0.024	0.179	0.014	0.118
3.054	0.057	0.214	0.282	1.035	0.044	0.253	0.022	0.001
2.99	0.108	0.053	0.355	1.001	0.04	0.118	0.055	0.078
3.222	0.176	0.174	0.259	0.98	0.046	0.247	0.036	0.199
3.187	0.103	0.171	0.389	1.036	0.018	0.142	0.014	0.088
2.993	0.029	0.039	0.337	0.989	0.044	0.134	0.02	0.221
2.852	0.061	0.024	0.298	0.955	0.017	0.175	0.007	0.2
3.179	0.072	0.081	0.352	0.997	0.059	0.176	0.034	0.196
3.142	0.12	0.257	0.227	0.974	0.063	0.144	0.026	0.288
2.816	0.121	0.16	0.214	0.997	0.06	0.188	0	0.053
3.172	0.121	0.109	0.446	0.958	0.08	0.205	0.03	0.095
3.051	0.057	0.167	0.273	1.058	0.013	0.123	0.02	0.149
3.258	0.109	0.208	0.348	0.994	0.052	0.215	0.023	0.144
3.252	0.1	0.112	0.39	1.041	0.031	0.225	0.035	0.108
3.079	0.165	0.111	0.338	1.066	0.051	0.139	0.002	0.064
3.09	0.122	0.109	0.335	0.967	0.061	0.216	0.007	0.224
3.086	0.099	0.156	0.336	0.967	0.033	0.086	0.018	0.235
3.021	0.058	0.111	0.402	1.006	0.021	0.096	0.019	0.084
3.072	0.084	0.14	0.409	1.011	0.028	0.038	0.003	0.147
2.798	0.064	0.095	0.33	0.911	0.036	0.191	0.003	0.118
3.091	0.151	0.098	0.44	0.963	0.053	0.221	0.03	0.021
3.225	0.05	0.038	0.428	0.992	0.041	0.271	0.031	0.16
2.813	0.096	0.08	0.313	0.889	0.06	0.305	0.02	0.056
3.134	0.043	0.2	0.378	0.943	0.053	0.236	0.007	0.171
2.887	0.096	0.077	0.275	0.989	0.053	0.063	0.02	0.196
2.863	0.024	0.09	0.318	0.952	0.038	0.124	0.001	0.166
3.051	0.068	0.063	0.305	1.063	0.031	0.184	0.019	0.109
2.83	0.04	0.054	0.32	0.934	0.029	0.166	0.021	0.148
2.857	0.055	0.044	0.316	1.011	0.05	0.223	0.003	0.024
3.229	0.039	0.107	0.394	0.995	0.044	0.128	0.051	0.229
3.05	0.068	0.06	0.285	1.045	0.076	0.29	0.013	0.078
2.96	0.125	0.1	0.325	0.931	0.034	0.206	0.02	0.172
3.52	0.132	0.163	0.47	1.03	0.063	0.205	0.017	0.208
2.952	0.065	0.154	0.378	0.931	0.057	0.093	0.006	0.141
3.184	0.079	0.134	0.378	0.911	0.038	0.214	0.019	0.3
3.094	0.098	0.115	0.389	1.009	0.04	0.202	0.026	0.045
2.823	0.103	0.075	0.252	1.006	0.058	0.121	0	0.116
3.156	0.153	0.118	0.429	0.898	0.042	0.182	0.007	0.206
3.047	0.047	0.12	0.393	0.929	0.017	0.24	0.019	0.166
3.19	0.101	0.135	0.316	1.049	0.045	0.148	0.038	0.133
2.875	0.094	0.142	0.249	0.976	0	0.237	0.008	0.09
2.697	0.082	0.059	0.235	0.948	0.054	0.076	0.039	0.154
3.336	0.062	0.137	0.373	1.004	0.044	0.271	0.014	0.187
3.004	0.088	0.094	0.309	0.921	0.051	0.207	0.004	0.222
3.249	0.13	0.113	0.432	1.005	0.031	0.096	0.012	0.199
3.282	0.126	0.144	0.344	0.954	0.021	0.208	0.043	0.284
3.063	0.049	0.086	0.372	0.987	0.019	0.105	0.021	0.182
3.113	0.088	0.09	0.363	0.992	0.046	0.209	0.005	0.143
3.234	0.114	0.142	0.474	0.979	0.048	0.173	0	0.119
3.129	0.121	0.096	0.369	1.054	0.025	0.191	0.008	0.062
2.922	0.069	0.091	0.43	1.005	0.033	0.125	0	0
2.932	0.135	0.142	0.213	0.986	0.032	0.088	0.028	0.226
3.061	0.099	0.102	0.379	0.971	0.05	0.241	0.009	0.079
3.219	0.116	0.136	0.422	1.02	0.014	0.127	0.019	0.151
2.849	0.025	0.161	0.417	0.929	0.022	0.061	0	0.093
3.16	0.036	0.068	0.519	1.002	0.065	0.123	0	0.129
3.152	0.062	0.125	0.346	0.928	0.042	0.248	0	0.237
3.265	0.028	0.182	0.257	1.027	0.053	0.238	0.021	0.217
2.69	0.103	0.137	0.283	0.882	0.054	0.161	0	0.086
2.928	0.082	0.14	0.251	1.006	0.041	0.165	0.004	0.133
2.906	0.102	0.092	0.265	1.061	0.034	0.105	0.008	0.097
2.907	0.092	0.163	0.351	0.937	0.033	0.102	0.019	0.097
3.134	0.094	0.121	0.353	1.035	0.019	0.18	0.036	0.071
2.743	0.073	0.113	0.213	0.937	0.03	0.157	0.02	0.168
3.133	0.188	0.078	0.287	1.016	0.059	0.283	0	0.157
2.987	0.012	0.069	0.342	1.094	0.013	0.063	0.022	0.073
3.012	0.091	0.099	0.171	1.003	0.048	0.256	0.008	0.229
3.11	0.078	0.207	0.32	0.901	0.069	0.293	0.013	0.221
3.084	0.037	0.095	0.356	0.966	0.019	0.186	0.004	0.224
3.073	0.091	0.154	0.194	1.042	0.058	0.201	0.021	0.166
2.966	0.074	0.136	0.265	1.016	0.023	0.183	0.004	0.148
3.119	0.075	0.182	0.299	0.977	0.048	0.233	0.034	0.167
3.199	0.083	0.155	0.339	1.019	0.036	0.072	0	0.346
2.805	0.105	0.196	0.358	0.893	0.031	0.208	0.005	0
3.041	0.092	0.137	0.399	0.908	0.03	0.169	0.028	0.151
2.964	0.086	0.156	0.284	0.988	0.041	0.102	0.024	0.147
3.05	0.073	0.162	0.384	1.061	0.047	0.07	0.03	0
3.273	0.066	0.098	0.353	1.044	0.023	0.256	0.023	0.17
3.141	0.115	0.048	0.304	0.98	0.029	0.126	0.059	0.276
2.831	0.095	0.07	0.294	0.989	0.035	0.104	0.013	0.105
2.993	0.089	0.069	0.366	0.967	0.029	0.207	0.014	0.11
2.794	0.085	0.105	0.32	0.896	0.047	0.271	0	0.072
2.795	0.083	0.151	0.34	0.935	0.019	0.073	0.032	0.07
3.158	0.124	0.126	0.336	1.03	0.056	0.198	0.034	0.088
2.977	0.069	0.118	0.317	0.949	0.046	0.126	0.015	0.236
2.843	0.121	0.098	0.237	1.062	0.033	0.027	0.011	0.13
2.664	0.066	0.059	0.342	0.872	0.014	0.142	0	0.117
2.889	0.041	0.14	0.399	0.922	0.044	0.191	0.004	0.059
3.174	0	0.014	0.364	1.026	0.012	0.219	0.001	0.227
3.196	0.077	0.143	0.29	1	0.033	0.197	0.05	0.19
2.737	0.004	0.102	0.324	0.997	0.052	0.123	0	0.002
3.256	0.069	0.074	0.442	1.013	0.027	0.166	0.003	0.243
2.813	0.125	0.21	0.22	0.875	0.059	0.135	0.004	0.212
3.254	0.133	0.081	0.533	0.991	0.039	0.272	0.013	0.006
3.367	0.093	0.202	0.362	1.003	0.044	0.254	0.032	0.176
3.138	0.069	0.153	0.375	1.023	0.023	0.093	0.001	0.215
3.264	0.096	0.085	0.354	1.069	0.028	0.214	0.012	0.142
3.113	0.117	0.189	0.358	1.011	0.047	0.153	0	0.116
2.922	0.031	0.148	0.289	1.023	0.032	0.063	0.025	0.103
3.371	0.077	0.164	0.359	1.013	0.03	0.176	0.023	0.314
3.386	0.068	0.115	0.462	0.979	0.032	0.254	0.035	0.18
2.717	0.085	0.037	0.343	0.93	0.018	0.213	0	0.037
3.069	0.108	0.134	0.442	0.974	0.014	0.248	0.008	0
3.191	0.099	0.106	0.409	0.909	0.054	0.226	0.023	0.259
3.121	0.032	0.104	0.279	0.967	0.035	0.24	0.03	0.315
3.472	0.103	0.16	0.428	1.036	0.015	0.124	0.029	0.264
3.349	0.127	0.14	0.428	0.941	0.011	0.289	0.015	0.25
3.147	0.142	0.155	0.298	0.992	0.042	0.195	0.032	0.195
2.957	0.071	0.15	0.321	0.97	0.053	0.12	0.006	0.191
3.103	0.072	0.168	0.422	0.931	0.048	0.088	0.029	0.18
2.96	0.039	0.123	0.33	1.006	0.036	0.145	0.019	0.082
3.213	0.099	0.164	0.332	1.022	0.065	0.222	0.015	0.152
3.438	0.132	0.213	0.344	1.085	0.044	0.204	0.012	0.183
3.065	0.122	0.104	0.403	0.891	0.057	0.193	0.02	0.187
2.691	0.1	0.106	0.26	0.908	0.032	0.193	0.006	0.074
3.34	0.097	0.136	0.403	1.055	0.011	0.213	0.025	0.14
2.857	0.146	0.128	0.335	0.872	0.036	0.256	0	0.134
2.925	0.075	0.037	0.358	0.937	0.036	0.14	0.019	0.166
2.941	0.011	0.109	0.277	0.981	0.052	0.199	0.048	0.112
2.867	0.078	0.076	0.38	0.977	0.041	0.114	0	0.078
3.234	0.055	0.185	0.355	1.014	0.032	0.173	0	0.187
3.313	0.043	0.035	0.401	1.057	0.027	0.21	0.024	0.222
3.046	0.116	0.18	0.406	0.946	0.04	0.203	0.01	0.043
3.193	0.084	0.19	0.317	1.02	0.036	0.053	0.009	0.281
3.051	0.067	0.108	0.311	0.948	0	0.264	0.02	0.162
3.004	0.036	0.133	0.313	1.005	0.025	0.339	0.01	0.001
2.941	0.043	0.123	0.284	0.985	0.017	0.11	0.012	0.237
3.181	0.035	0.134	0.455	0.982	0.016	0.098	0	0.265
3.02	0.067	0.068	0.308	0.975	0.035	0.277	0.002	0.147
3.026	0.048	0.035	0.368	1.007	0.032	0.151	0	0.163
2.847	0.119	0.094	0.159	0.996	0.014	0.292	0.008	0.124
3.031	0.078	0.117	0.433	0.941	0.042	0.087	0.051	0.11
3.212	0.142	0.064	0.351	0.998	0.044	0.274	0.01	0.17
3.212	0.154	0.139	0.442	0.95	0.029	0.142	0.051	0.128
3.181	0.085	0.242	0.429	0.953	0.011	0.074	0.015	0.163
2.902	0.137	0.049	0.359	0.952	0.001	0.156	0.011	0.124
3.09	0.102	0.168	0.296	0.973	0.05	0.16	0.002	0.216
2.837	0.157	0.065	0.323	0.909	0.057	0.12	0.033	0.162
2.915	0.078	0.141	0.276	0.927	0.023	0.187	0.04	0.157
3.026	0.173	0.188	0.372	0.954	0.041	0.114	0	0.15
3.136	0.032	0.111	0.298	1.013	0.039	0.207	0	0.212
3.074	0.091	0.164	0.362	0.972	0.031	0.068	0	0.21
3.076	0.117	0.169	0.292	0.958	0.029	0.252	0.008	0.153
2.989	0.054	0.05	0.377	0.895	0.023	0.188	0.032	0.214
2.802	0.046	0.178	0.375	0.893	0.026	0.058	0	0.134
2.911	0.08	0.123	0.342	0.916	0.035	0.062	0.002	0.273
3.114	0.101	0.099	0.36	1.024	0.054	0.173	0.009	0.141
3.164	0.071	0.095	0.405	1.041	0.008	0.12	0.024	0.131
2.934	0.118	0.145	0.353	0.981	0.011	0.137	0.017	0.052
3.347	0.163	0.144	0.296	1.053	0.045	0.188	0.018	0.254
3.303	0.076	0.187	0.406	1.052	0.039	0.103	0.012	0.177
2.99	0.117	0.088	0.359	0.952	0.043	0.132	0	0.217
3.074	0.131	0.137	0.261	1.004	0.031	0.191	0.001	0.261
3.156	0.112	0.135	0.294	1.045	0.025	0.161	0	0.214
3.174	0.04	0.16	0.299	1.029	0.045	0.054	0.034	0.234
3.333	0.086	0.144	0.394	1.016	0.037	0.205	0.009	0.214
3.251	0.167	0.026	0.462	0.99	0.056	0.181	0.035	0.168
3.31	0.047	0.102	0.345	1.027	0.027	0.188	0.031	0.276
2.876	0.082	0.12	0.304	0.961	0.062	0.154	0.006	0.118
2.843	0.061	0.129	0.382	0.89	0.037	0.092	0.03	0.109
3.022	0.148	0.115	0.362	1.008	0.055	0.105	0.002	0.093
2.758	0.116	0.132	0.257	0.968	0.032	0.106	0.009	0.092
2.85	0.079	0.107	0.394	0.972	0	0.068	0.012	0.061
2.937	0.052	0.119	0.246	0.954	0.039	0.235	0.021	0.204
3.18	0.03	0.093	0.271	1.049	0.047	0.241	0.018	0.208
2.668	0.11	0.077	0.25	0.962	0.054	0.162	0	0.038
3.231	0.081	0.156	0.458	1.002	0.029	0.144	0.021	0.102
3.114	0.131	0.148	0.32	1.048	0.041	0.172	0.011	0.108
3.079	0.122	0.134	0.351	0.929	0.033	0.198	0.005	0.199
2.902	0.008	0.172	0.271	0.977	0.024	0.134	0	0.217
3.334	0.109	0.131	0.201	1.083	0.047	0.191	0.032	0.277
3.382	0.105	0.036	0.419	1.057	0.038	0.288	0.003	0.173
3.29	0.111	0.121	0.344	1.035	0.03	0.298	0.009	0.144
2.736	0.048	0.072	0.317	0.954	0.057	0.118	0.02	0.061
3.236	0.08	0.108	0.401	0.976	0.052	0.262	0.034	0.149
2.884	0.136	0.165	0.301	0.897	0.027	0.229	0.02	0.081
3.118	0.007	0.153	0.413	0.89	0.012	0.198	0.012	0.242
3.286	0.041	0.112	0.424	0.99	0.048	0.226	0.022	0.175
3.009	0.139	0.136	0.352	0.985	0.035	0.24	0.024	0
2.61	0.062	0.034	0.271	0.952	0.022	0.118	0.027	0.042
3.06	0.069	0.136	0.298	0.969	0.056	0.164	0.033	0.165
3.351	0.102	0.138	0.405	0.9	0.057	0.277	0	0.314
2.982	0.047	0.153	0.39	0.981	0.046	0.181	0	0.038
2.721	0.078	0.094	0.296	0.906	0.039	0.048	0.039	0.149
3.073	0.091	0.121	0.38	1.005	0.032	0.207	0.015	0.064
2.828	0.094	0.076	0.296	0.864	0.046	0.065	0.028	0.339
2.79	0.065	0.098	0.293	0.935	0.051	0.124	0.02	0.159
3.199	0.113	0.155	0.356	0.984	0.048	0.138	0.025	0.194
3.009	0.096	0.116	0.265	0.93	0.088	0.097	0.075	0.24
3.239	0.013	0.186	0.359	1.065	0.013	0.246	0.032	0.061
2.86	0.013	0.119	0.332	0.947	0.026	0.109	0.023	0.135
2.854	0.066	0.068	0.332	1.013	0.071	0.178	0.008	0
3.181	0.032	0.146	0.364	1.013	0.027	0.153	0.014	0.237
2.84	0.076	0.144	0.304	0.884	0.017	0.332	0.045	0.004
2.959	0.073	0.094	0.372	0.93	0.037	0.211	0	0.169
2.947	0.123	0.073	0.401	0.875	0.028	0.205	0.053	0.105
2.979	0.081	0.177	0.365	0.964	0.035	0.038	0.016	0.178
3.146	0.073	0.16	0.339	0.944	0.035	0.215	0.002	0.298
2.892	0.091	0.193	0.304	0.928	0.036	0.242	0	0.058
2.555	0.039	0.117	0.169	0.938	0.04	0.129	0	0.118
3.07	0.096	0.195	0.316	0.929	0.035	0.322	0	0.14
3.279	0.155	0.158	0.373	1.012	0.004	0.109	0.025	0.266
3.269	0.187	0.114	0.281	1.07	0.022	0.302	0.011	0.135
3.207	0.051	0.093	0.369	0.914	0.031	0.248	0.011	0.287
2.831	0.02	0.113	0.315	0.965	0.059	0.11	0.006	0.147
2.963	0.14	0.082	0.308	0.991	0.05	0.166	0.012	0.105
3.051	0.135	0.174	0.312	0.976	0.056	0.22	0.017	0.094
2.928	0.138	0.192	0.295	1.021	0.042	0.098	0.032	0
2.977	0.039	0.128	0.3	0.974	0.022	0.151	0.026	0.201
3.208	0.076	0.085	0.415	1.003	0.046	0.165	0.001	0.245
3.012	0.165	0.184	0.308	0.94	0	0.221	0	0.133
3.354	0.103	0.179	0.334	0.998	0.008	0.203	0.044	0.265
3.253	0.099	0.174	0.382	1.03	0.034	0.198	0	0.179
2.959	0.092	0.107	0.339	0.98	0.052	0.164	0.015	0.11
3.172	0.053	0.189	0.397	0.988	0.048	0.124	0	0.173
2.858	0.138	0.07	0.271	0.973	0.012	0.145	0.041	0.109
2.67	0.073	0.059	0.215	1.006	0.066	0.171	0	0.024
2.76	0.104	0.053	0.241	0.937	0.038	0.25	0	0.116
2.866	0.123	0.131	0.327	0.994	0.036	0.096	0.019	0.042
2.861	0.07	0.117	0.256	0.946	0.041	0.121	0.034	0.184
3.007	0.088	0.081	0.397	0.955	0.03	0.161	0.016	0.126
2.769	0.118	0.097	0.264	0.919	0.05	0.273	0.012	0.044
3.37	0.079	0.061	0.432	1.057	0.039	0.129	0.003	0.243
3.265	0.031	0.057	0.383	1.01	0.044	0.147	0.045	0.226
2.793	0.105	0.207	0.3	0.958	0.049	0.046	0.013	0.063
3.012	0.067	0.095	0.287	0.982	0.051	0.13	0.022	0.265
3.033	0.112	0.061	0.341	0.935	0.038	0.192	0	0.237
2.836	0.107	0.077	0.332	0.948	0.046	0.11	0.014	0.113
3.075	0.143	0.098	0.262	1.011	0.038	0.177	0.051	0.176
2.98	0.104	0.209	0.333	0.936	0.031	0.137	0.023	0.136
3.196	0.05	0.21	0.406	1.019	0.024	0.146	0	0.105
3.071	0.088	0.115	0.361	1.04	0.039	0.097	0.016	0.128
2.953	0.038	0.094	0.237	0.99	0.036	0.214	0.018	0.183
2.909	0.04	0.162	0.254	0.992	0.043	0.164	0	0.16
2.762	0.102	0.069	0.163	1.015	0.01	0.15	0.049	0.079
3.449	0.067	0.113	0.374	1.023	0.067	0.353	0.012	0.245
2.904	0.082	0.124	0.35	0.946	0.008	0.193	0.02	0.081
2.859	0.031	0.015	0.401	0.942	0.043	0.155	0.024	0.119
3.112	0.124	0.11	0.402	0.966	0.037	0.158	0.033	0.153
2.569	0.138	0.147	0.294	0.91	0.062	0.06	0	0
2.973	0.1	0.096	0.242	1.017	0.03	0.222	0.038	0.105
3.338	0.186	0.086	0.308	1.052	0.016	0.254	0.006	0.232
3.098	0.09	0.156	0.297	0.994	0.045	0.051	0.059	0.183
2.901	0.127	0.071	0.367	0.913	0.038	0.037	0.037	0.183
2.832	0.084	0.102	0.276	0.912	0.044	0.13	0	0.25
3.191	0.098	0.124	0.242	1.094	0.047	0.228	0.049	0.095
3.071	0.062	0.121	0.339	1.035	0.058	0.163	0.013	0.081
3.182	0.071	0.06	0.381	1.044	0.037	0.241	0.006	0.146
2.697	0.071	0.011	0.315	0.944	0.048	0.163	0.024	0.041
3.082	0.06	0.133	0.227	1.052	0.04	0.187	0.013	0.181
2.958	0.07	0.1	0.423	1.027	0.014	0.091	0.006	0.018
3.271	0	0.188	0.374	0.957	0.032	0.148	0.029	0.297
3.228	0.112	0.158	0.389	0.969	0.043	0.287	0.047	0.065
3.144	0.027	0.049	0.306	1.012	0.026	0.223	0	0.27
3.297	0.099	0.102	0.531	1.04	0.073	0.082	0.016	0.098
2.666	0.136	0.117	0.25	0.927	0.018	0.131	0.015	0.062
