O	Na	Mg	Al	Si	K	Ca	Ti	Fe
3.254	0.043	0.118	0.38	1.069	0.035	0.253	0	0.094
3.038	0.084	0.074	0.27	0.991	0.043	0.078	0.01	0.286
3.429	0.115	0.139	0.345	1.014	0.038	0.259	0.019	0.26
3.428	0.109	0.113	0.547	0.995	0.035	0.222	0.027	0.134
2.723	0.162	0.074	0.394	0.96	0.009	0.05	0	0.002
3.305	0.095	0.106	0.479	0.996	0.045	0.126	0	0.236
3.079	0.038	0.183	0.294	0.977	0.049	0.115	0.057	0.163
2.922	0	0.088	0.366	0.975	0.051	0.147	0.011	0.1
3.369	0.128	0.133	0.444	1.071	0.045	0.161	0	0.142
2.737	0.021	0.063	0.285	0.942	0.017	0.08	0.024	0.153
3.189	0.145	0.091	0.369	1.073	0.025	0.172	0.029	0.079
3.135	0.119	0.161	0.364	0.985	0.014	0.071	0.025	0.191
3.138	0.137	0.164	0.301	0.972	0.058	0.272	0.004	0.144
3.221	0.093	0.163	0.327	1.005	0.036	0.248	0	0.166
2.875	0.058	0.076	0.259	0.942	0.048	0.152	0	0.262
3.388	0.093	0.062	0.455	1.03	0.033	0.228	0.011	0.235
3.076	0.049	0.18	0.212	0.963	0.077	0.343	0	0.173
2.866	0.156	0.076	0.251	0.968	0.009	0.265	0.01	0.085
3.015	0.219	0.134	0.306	0.999	0.003	0.078	0.015	0.194
3.165	0.069	0.142	0.321	1.001	0.023	0.305	0.012	0.149
2.682	0.052	0.038	0.357	0.887	0.006	0.176	0.026	0.06
3.197	0.164	0.182	0.446	0.978	0.052	0.133	0.028	0.091
2.808	0.098	0.051	0.375	0.951	0.012	0.156	0.04	0
2.736	0.058	0.017	0.339	0.912	0.037	0.129	0.01	0.188
3.145	0.082	0.116	0.387	1.082	0.037	0.094	0	0.091
3.28	0.12	0.083	0.337	1.033	0.019	0.198	0.011	0.327
3.067	0.118	0.178	0.39	0.952	0.004	0.203	0.001	0.111
3.338	0.109	0.099	0.421	1.034	0.053	0.2	0.014	0.223
